"partida_id","data","mandante","visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_placar","visitante_placar","mandante_estado","visitante_estado","Ano","Ano do Campeonato","Jogo","Equipe","Mando","GP","GS","P","J","V","E","D","SG"
"5388","42515","Botafogo-RJ","Athletico-PR","R. Gomes Raymundo","B. Marques Fernandes Pivetti","Botafogo-RJ","Helenão","2","1","RJ","PR","2016","2016","Botafogo-RJ x Athletico-PR","Athletico-PR","fora","1","2","0","1","0","0","1","-1"
"5389","42515","Flamengo","Chapecoense","J. de Almeida Filho","A. Ferreira","-","Estádio Municipal General Raulino de Oliveira","2","2","RJ","SC","2016","2016","Flamengo x Chapecoense","Flamengo","casa","2","2","1","1","0","1","0","0"
"5389","42515","Flamengo","Chapecoense","J. de Almeida Filho","A. Ferreira","-","Estádio Municipal General Raulino de Oliveira","2","2","RJ","SC","2016","2016","Flamengo x Chapecoense","Chapecoense","fora","2","2","1","1","0","1","0","0"
"5390","42515","America-MG","Vitoria","G. de Oliveira","V. Carmo Mancini","-","Estádio Raimundo Sampaio","1","1","MG","BA","2016","2016","America-MG x Vitoria","America-MG","casa","1","1","1","1","0","1","0","0"
"5390","42515","America-MG","Vitoria","G. de Oliveira","V. Carmo Mancini","-","Estádio Raimundo Sampaio","1","1","MG","BA","2016","2016","America-MG x Vitoria","Vitoria","fora","1","1","1","1","0","1","0","0"
"5391","42515","Santa Cruz","Cruzeiro","M. Mendes","P. Gomes Bento","Santa Cruz","Estádio do Arruda","4","1","PE","MG","2016","2016","Santa Cruz x Cruzeiro","Santa Cruz","casa","4","1","3","1","1","0","0","3"
"5391","42515","Santa Cruz","Cruzeiro","M. Mendes","P. Gomes Bento","Santa Cruz","Estádio do Arruda","4","1","PE","MG","2016","2016","Santa Cruz x Cruzeiro","Cruzeiro","fora","1","4","0","1","0","0","1","-3"
"5393","42515","Coritiba","Sao Paulo","E. Pacheco","E. Bauza","-"," Couto Pereira","1","1","PR","SP","2016","2016","Coritiba x Sao Paulo","Coritiba","casa","1","1","1","1","0","1","0","0"
"5393","42515","Coritiba","Sao Paulo","E. Pacheco","E. Bauza","-"," Couto Pereira","1","1","PR","SP","2016","2016","Coritiba x Sao Paulo","Sao Paulo","fora","1","1","1","1","0","1","0","0"
"5392","42515","Palmeiras","Fluminense","A. Stival","L. Culpi","Palmeiras","Allianz Parque","2","0","SP","RJ","2016","2016","Palmeiras x Fluminense","Palmeiras","casa","2","0","3","1","1","0","0","2"
"5392","42515","Palmeiras","Fluminense","A. Stival","L. Culpi","Palmeiras","Allianz Parque","2","0","SP","RJ","2016","2016","Palmeiras x Fluminense","Fluminense","fora","0","2","0","1","0","0","1","-2"
"5394","42516","Corinthians","Ponte Preta","A. Bacchi","E. Baptista","Corinthians","Neo Química Arena","3","0","SP","SP","2016","2016","Corinthians x Ponte Preta","Corinthians","casa","3","0","3","1","1","0","0","3"
"5394","42516","Corinthians","Ponte Preta","A. Bacchi","E. Baptista","Corinthians","Neo Química Arena","3","0","SP","SP","2016","2016","Corinthians x Ponte Preta","Ponte Preta","fora","0","3","0","1","0","0","1","-3"
