partida_id,clube,posse_de_bola,passes,faltas,impedimentos,escanteios
5253,Flamengo,0.55,438,16,4,6
5253,Atletico-MG,0.45,379,16,0,6
5252,Vasco,0.44,372,13,4,2
5252,Sport,0.56,477,10,2,5
5254,Sao Paulo,0.62,490,19,2,5
5254,Avai,0.38,294,17,3,9
5256,Athletico-PR,0.62,407,23,2,5
5256,Coritiba,0.38,260,19,1,5
5255,Cruzeiro,0.45,364,12,2,6
5255,Chapecoense,0.55,416,15,2,3
5257,Goias,0.48,405,15,2,4
5257,Fluminense,0.52,437,27,0,0
5258,Avai,0.46,426,12,0,8
5258,Gremio,0.54,538,13,2,3
5259,Ponte Preta,0.34,278,18,4,2
5259,Athletico-PR,0.66,488,16,0,13
5260,Santos,0.61,490,8,3,5
5260,Internacional,0.39,324,17,1,6
5261,Flamengo,0.48,307,26,2,4
5261,Vasco,0.52,334,21,0,5
5262,Atletico-MG,0.57,498,8,5,5
5262,Joinville,0.43,369,19,2,5
5263,Corinthians,0.47,367,14,0,4
5263,Figueirense,0.53,385,21,3,9
5264,Palmeiras,0.44,315,17,0,3
5264,Sao Paulo,0.56,402,13,2,7
5265,Chapecoense,0.54,414,8,1,6
5265,Sport,0.46,374,17,2,4
5266,Cruzeiro,0.49,458,13,0,3
5266,Coritiba,0.51,446,13,3,6
5267,Internacional,0.51,376,16,3,8
5267,Sport,0.49,382,11,1,4
5268,Coritiba,0.49,412,6,4,9
5268,Atletico-MG,0.51,443,11,0,1
5269,Sao Paulo,0.58,464,12,4,4
5269,Athletico-PR,0.42,342,16,1,0
5271,Joinville,0.3,217,27,0,2
5271,Flamengo,0.7,478,17,8,9
5270,Avai,0.41,289,18,2,6
5270,Vasco,0.59,444,18,5,3
5274,Figueirense,0.38,267,11,3,5
5274,Goias,0.62,423,15,0,4
5273,Gremio,0.54,526,15,0,5
5273,Cruzeiro,0.46,436,9,4,3
5275,Corinthians,0.58,445,15,1,7
5275,Ponte Preta,0.42,320,17,6,8
5272,Santos,0.54,442,24,9,6
5272,Fluminense,0.46,386,12,0,4
5276,Palmeiras,0.52,336,17,2,7
5276,Chapecoense,0.48,314,17,0,2
5277,Internacional,0.41,352,11,2,3
5277,Atletico-MG,0.59,488,14,3,5
5278,Sport,0.59,517,8,2,9
5278,Avai,0.41,375,16,1,0
5279,Joinville,0.42,293,23,0,4
5279,Coritiba,0.58,407,16,4,4
5280,Figueirense,0.33,228,14,1,4
5280,Flamengo,0.67,479,10,2,3
5281,Ponte Preta,0.41,306,17,0,6
5281,Palmeiras,0.59,404,18,1,8
5282,Fluminense,0.42,340,16,1,3
5282,Sao Paulo,0.58,462,21,2,5
5283,Cruzeiro,0.49,365,7,5,11
5283,Athletico-PR,0.51,384,20,3,0
5285,Goias,0.37,367,10,6,4
5285,Corinthians,0.63,620,9,3,6
5284,Chapecoense,0.43,306,19,1,0
5284,Vasco,0.57,388,16,2,8
5286,Santos,0.51,474,4,1,11
5286,Gremio,0.49,462,14,0,9
5287,Avai,0.54,379,14,2,1
5287,Palmeiras,0.46,330,29,1,5
5288,Joinville,0.45,280,24,4,5
5288,Figueirense,0.55,348,16,2,3
5290,Cruzeiro,0.49,426,13,1,7
5290,Fluminense,0.51,430,14,0,3
5289,Coritiba,0.54,428,27,2,2
5289,Ponte Preta,0.46,369,30,2,6
5291,Corinthians,0.44,389,12,1,5
5291,Athletico-PR,0.56,470,11,5,7
5293,Sao Paulo,0.48,401,11,3,4
5293,Vasco,0.52,427,16,2,7
5292,Flamengo,0.63,459,19,0,5
5292,Internacional,0.37,286,24,0,1
5294,Gremio,0.57,489,17,2,5
5294,Chapecoense,0.43,369,13,1,3
5295,Santos,0.61,559,9,4,3
5295,Goias,0.39,374,8,1,1
5296,Sport,0.44,429,13,1,4
5296,Atletico-MG,0.56,545,8,1,7
5297,Fluminense,0.54,478,4,2,7
5297,Athletico-PR,0.46,427,21,1,5
5298,Internacional,0.62,461,11,5,4
5298,Joinville,0.38,279,18,1,4
5299,Figueirense,0.38,281,24,3,4
5299,Santos,0.62,485,20,1,4
5300,Sport,0.47,433,9,1,1
5300,Palmeiras,0.53,452,15,1,11
5303,Chapecoense,0.53,397,17,1,2
5303,Avai,0.47,367,16,1,4
5301,Corinthians,0.56,509,19,1,1
5301,Flamengo,0.44,397,20,6,6
5304,Gremio,0.47,416,16,4,9
5304,Vasco,0.53,454,12,4,3
5302,Sao Paulo,0.6,525,21,1,3
5302,Coritiba,0.4,344,17,2,3
5305,Cruzeiro,0.56,485,11,0,5
5305,Goias,0.44,363,14,0,8
5306,Ponte Preta,0.41,409,12,2,5
5306,Atletico-MG,0.59,552,15,0,6
5307,Sport,0.43,415,15,2,2
5307,Sao Paulo,0.57,541,10,3,4
5308,Avai,0.51,315,16,1,4
5308,Cruzeiro,0.49,325,16,0,3
5309,Joinville,0.49,330,17,0,4
5309,Ponte Preta,0.51,354,20,2,7
5310,Coritiba,0.64,424,13,3,7
5310,Figueirense,0.36,247,29,2,6
5313,Gremio,0.52,506,12,0,6
5313,Flamengo,0.48,474,12,1,1
5314,Corinthians,0.41,363,15,1,2
5314,Atletico-MG,0.59,497,11,5,11
5311,Athletico-PR,0.44,341,12,1,4
5311,Chapecoense,0.56,402,13,2,7
5312,Palmeiras,0.54,325,18,3,4
5312,Santos,0.46,281,15,6,6
5315,Fluminense,0.52,472,22,2,5
5315,Vasco,0.48,444,18,0,13
